id,code,name,city_id/id,active
res_parish_ec_01,1,Bellavista,res_city_1,True
res_parish_ec_02,2,Cañaribamba,res_city_1,True
res_parish_ec_03,3,El Batán,res_city_1,True
res_parish_ec_04,4,El Sagrario,res_city_1,True
res_parish_ec_05,5,El Vecino,res_city_1,True
res_parish_ec_06,6,Gil Ramírez Dávalos,res_city_1,True
res_parish_ec_07,7,Huaynacápac,res_city_1,True
res_parish_ec_08,8,Machángara,res_city_1,True
res_parish_ec_09,9,Monay,res_city_1,True
res_parish_ec_10,10,San Blas,res_city_1,True
res_parish_ec_11,11,San Sebastián,res_city_1,True
res_parish_ec_12,12,Sucre,res_city_1,True
res_parish_ec_13,13,Totoracocha,res_city_1,True
res_parish_ec_14,14,Yanuncay,res_city_1,True
res_parish_ec_15,15,Hermano Miguel,res_city_1,True
res_parish_ec_16,16,Cuenca,res_city_1,True
res_parish_ec_17,17,Baños,res_city_1,True
res_parish_ec_18,18,Cumbe,res_city_1,True
res_parish_ec_19,19,Chaucha,res_city_1,True
res_parish_ec_20,20,Checa (Jidcay),res_city_1,True
res_parish_ec_21,21,Chiquintad,res_city_1,True
res_parish_ec_22,22,Llacao,res_city_1,True
res_parish_ec_23,23,Molleturo,res_city_1,True
res_parish_ec_24,24,Nulti,res_city_1,True
res_parish_ec_25,25,Octavio Cordero Palacios (Santa Rosa),res_city_1,True
res_parish_ec_26,26,Paccha,res_city_1,True
res_parish_ec_27,27,Quingeo,res_city_1,True
res_parish_ec_28,28,Ricaurte,res_city_1,True
res_parish_ec_29,29,San Joaquín,res_city_1,True
res_parish_ec_30,30,Santa Ana,res_city_1,True
res_parish_ec_31,31,Sayausí,res_city_1,True
res_parish_ec_32,32,Sidcay,res_city_1,True
res_parish_ec_33,33,Sinincay,res_city_1,True
res_parish_ec_34,34,Tarqui,res_city_1,True
res_parish_ec_35,35,Turi,res_city_1,True
res_parish_ec_36,36,Valle,res_city_1,True
res_parish_ec_37,37,Victoria Del Portete (Irquis),res_city_1,True
res_parish_ec_38,1,Girón,res_city_2,True
res_parish_ec_39,2,Asunción,res_city_2,True
res_parish_ec_40,3,San Gerardo,res_city_2,True
res_parish_ec_41,1,Gualaceo,res_city_3,True
res_parish_ec_42,2,Chordeleg,res_city_3,True
res_parish_ec_43,3,Daniel Córdova Toral (El Oriente),res_city_3,True
res_parish_ec_44,4,Jadán,res_city_3,True
res_parish_ec_45,5,Mariano Moreno,res_city_3,True
res_parish_ec_46,6,Principal,res_city_3,True
res_parish_ec_47,7,Remigio Crespo Toral (Gúlag),res_city_3,True
res_parish_ec_48,8,San Juan,res_city_3,True
res_parish_ec_49,9,Zhidmad,res_city_3,True
res_parish_ec_50,10,Luis Cordero Vega,res_city_3,True
res_parish_ec_51,11,Simón Bolívar (Cab. En Gañanzol),res_city_3,True
res_parish_ec_52,1,Nabón,res_city_4,True
res_parish_ec_53,2,Cochapata,res_city_4,True
res_parish_ec_54,3,El Progreso (Cab.En Zhota),res_city_4,True
res_parish_ec_55,4,Las Nieves (Chaya),res_city_4,True
res_parish_ec_56,5,Oña,res_city_4,True
res_parish_ec_57,1,Paute,res_city_5,True
res_parish_ec_58,2,Amaluza,res_city_5,True
res_parish_ec_59,3,Bulán (José Víctor Izquierdo),res_city_5,True
res_parish_ec_60,4,Chicán (Guillermo Ortega),res_city_5,True
res_parish_ec_61,5,El Cabo,res_city_5,True
res_parish_ec_62,6,Guachapala,res_city_5,True
res_parish_ec_63,7,Guarainag,res_city_5,True
res_parish_ec_64,8,Palmas,res_city_5,True
res_parish_ec_65,9,Pan,res_city_5,True
res_parish_ec_66,10,San Cristóbal (Carlos Ordóñez Lazo),res_city_5,True
