id,number,name,sector_commission_id/id,active
branch_economic_activity_01_01,1,PLANTACIONES DE PALMA AFRICANA Y OTROS CULTIVOS DE SEMILLAS- FRUTAS Y NUECES OLEAGINOSAS,sector_commission_01,True
branch_economic_activity_01_02,2,PRODUCCIÓN DE FLORES NATURALES Y PLANTAS ORNAMENTALES Y MEDICINALES,sector_commission_01,True
branch_economic_activity_01_03,3,PLANTACIONES DE CACAO- INCLUYE ESCOGIDA DE CACAO DESTINADO PARA LA EXPORTACIÓN,sector_commission_01,True
branch_economic_activity_01_04,4,PLANTACIONES DE CAFÉ- INCLUYE ESCOGIDA DE CAFÉ DESTINADO PARA LA EXPORTACIÓN,sector_commission_01,True
branch_economic_activity_01_05,5,SILVICULTURA- EXTRACCIÓN DE MADERA Y ACTIVIDADES DE TIPO SERVICIO CONEXAS,sector_commission_01,True
branch_economic_activity_01_06,6,CULTIVO Y ELABORACIÓN PRELIMINAR DEL TABACO,sector_commission_01,True
branch_economic_activity_01_07,7,OTROS CULTIVOS,sector_commission_01,True
branch_economic_activity_01_08,8,OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA,sector_commission_01,True
branch_economic_activity_01_09,9,PLANTACIONES DE BANANO Y OTROS CULTIVOS DE FRUTAS TROPICALES,sector_commission_01,True
branch_economic_activity_01_10,10,PLANTACIONES DE ABACÁ Y OTROS CULTIVOS QUE DAN MATERIA- TEXTILES- MATERIALES PARA TRENZADO- ACOLCHADO O RELLENO Y PARA CEPILLOS Y ESCOBAS,sector_commission_01,True

branch_economic_activity_02_01,1,PRODUCCIÓN AVÍCOLA,sector_commission_02,True
branch_economic_activity_02_02,2,PRODUCCIÓN DE GANADO Y OTRAS ESPECIES ANIMALES,sector_commission_02,True
branch_economic_activity_02_03,3,OTROS SERVICIOS RELACIONADOS CON LA PRODUCCIÓN PECUARIA,sector_commission_02,True

branch_economic_activity_03_01,1,LABORATORIOS- CRÍA- CULTIVOS DE ESPECIES BIOACUÁTICAS Y MARICULTURA (CULTIVOS EN PISCINAS- JAULAS U OTROS SISTEMAS EN EL MAR- RÍOS- LAGOS O EMBALSES),sector_commission_03,True
branch_economic_activity_03_02,2,OTROS SERVICIOS RELACIONADOS CON LA PESCA- ACUACULTURA Y MARICULTURA,sector_commission_03,True
branch_economic_activity_03_03,3,FAENAS DE PESCA DE ALTURA Y COSTERA/TRIPULANTES DE BUQUES PESQUEROS,sector_commission_03,True

branch_economic_activity_04_01,1,PRODUCCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL Y SUS DERIVADOS- SU PROCESAMIENTO,sector_commission_04,True
branch_economic_activity_04_02,2,EXTRACCIÓN DE MINERALES METÁLICOS Y NO METÁLICOS,sector_commission_04,True
branch_economic_activity_04_03,3,EXTRACCIÓN DE MATERIALES DE CONSTRUCCIÓN,sector_commission_04,True
branch_economic_activity_04_04,4,EXTRACCIÓN DE SAL,sector_commission_04,True
branch_economic_activity_04_05,5,EXTRACCIÓN Y AGLOMERACIÓN DE CARBÓN DE PIEDRA,sector_commission_04,True
branch_economic_activity_04_06,6,OTROS SERVICIOS RELACIONADOS CON LA MINERÍA- CANTERAS Y YACIMIENTOS,sector_commission_04,True

branch_economic_activity_05_01,1,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS: LEVADURAS- GELATINAS- CONDIMENTOS Y EXTRACTOS PARA DAR SABOR A LOS ALIMENTOS,sector_commission_05,True
branch_economic_activity_05_02,2,ELABORACIÓN DE PRODUCTOS DE PANADERÍA Y PASTELERÍA,sector_commission_05,True
branch_economic_activity_05_03,3,ELABORACIÓN DE PRODUCTOS LÁCTEOS,sector_commission_05,True
branch_economic_activity_05_04,4,ELABORACIÓN DE HIELO,sector_commission_05,True
branch_economic_activity_05_05,5,ELABORACIÓN DE ACEITE ROJO CRUDO DE PALMA,sector_commission_05,True
branch_economic_activity_05_06,6,ELABORACIÓN DE FIDEOS- MACARRONES Y OTROS PRODUCTOS SECOS,sector_commission_05,True
branch_economic_activity_05_07,7,FAENAMIENTO AVÍCOLA,sector_commission_05,True
branch_economic_activity_05_08,8,FAENAMIENTO DE GANADO- PREPARACIÓN Y CONSERVACIÓN DE CARNES,sector_commission_05,True
