id,number,name,active
sector_commission_01,1,AGRICULTURA Y PLANTACIONES,True
sector_commission_02,2,PRODUCCIÓN PECUARIA,True
sector_commission_03,3,PESCA- ACUACULTURA Y MARICULTURA,True
sector_commission_04,4,MINAS CANTERAS Y YACIMIENTOS,True
sector_commission_05,5,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),True
sector_commission_06,6,PRODUCTOS INDUSTRIALES- FARMACÉUTICOS Y QUÍMICOS,True
sector_commission_07,7,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,True
sector_commission_08,8,METALMECÁNICA,True
sector_commission_10,10,PRODUCTOS TEXTILES- CUERO Y CALZADO,True
sector_commission_11,11,VEHÍCULOS- AUTOMOTORES- CARROCERÍAS Y SUS PARTES,True
sector_commission_12,12,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC'S),True
sector_commission_13,13,ELECTRICIDAD- GAS Y AGUA,True
sector_commission_14,14,CONSTRUCCIÓN,True
sector_commission_15,15,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,True
sector_commission_16,16,TURISMO Y ALIMENTACIÓN,True
sector_commission_17,17,TRANSPORTE Y LOGÍSTICA,True
sector_commission_18,18,SERVICIOS FINANCIEROS,True
sector_commission_19,19,ACTIVIDADES TIPO SERVICIOS,True
sector_commission_20,20,ENSEÑANZA,True
sector_commission_21,21,ACTIVIDADES DE SALUD,True
sector_commission_22,22,ACTIVIDADES COMUNITARIAS,True
